area_type,availability,location,size,society,total_sqft,bath,room,price
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,PARQUE DEL MAR I,2174,3,3,530000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PARQUE DEL MAR I,2174,3,3,500000
Super built-up Area,Sale,"SANTA MARIA,Juan Díaz",4 Bedroom,ACQUA II,3714,3,3,1200000
Built-up Area,Rental,"SANTA MARIA,Juan Díaz",3 BHK,PH PRIVILEDGE,2530,3,3,700000
Plot Area,Sale,"SANTA MARIA,Juan Díaz",2 BHK,THE HERITAGE,6889,4,4,2100000
Super built-up Area,Rental,"SANTA MARIA,Juan Díaz",4 Bedroom,THE RESERVE T300,4478,4,4,1249000
Built-up Area,Sale,"SANTA MARIA,Juan Díaz",3 BHK,THE RESERVE T300,3186,5,4,750000
Plot Area,Sale,"SANTA MARIA,Juan Díaz",2 BHK,BUENAVISTA RESIDENCES,4306,3,3,1199000
Super built-up Area,Sale,"SANTA MARIA,Juan Díaz",4 Bedroom,LA VISTA ON THE GREEN,6157,3,3,1700000
Built-up Area,Sale,"SANTA MARIA,Juan Díaz",3 BHK,LA VISTA ON THE GREEN,3617,3,3,875000
Plot Area,Sale,"SANTA MARIA,Juan Díaz",2 BHK,THE RESERVE T300,3186,4,4,690000
Super built-up Area,Sale,"SANTA MARIA,Juan Díaz",4 Bedroom,VALERY POINT,3778,3,3,1158795
Built-up Area,Sale,"MARBELLA,Bella Vista",3 BHK,THE HERITAGE,6889,3,3,3198050
Plot Area,Rental,"MARBELLA,Bella Vista",2 BHK,EBBELLE,1701,3,3,260000
Super built-up Area,Sale,"MARBELLA,Bella Vista",4 Bedroom,SOL MARINA REMODELADO – 242M2,2605,3,3,399000
Built-up Area,Sale,"MARBELLA,Bella Vista",3 BHK,Marbella Tower,2002,3,3,265000
Plot Area,Sale,"MARBELLA,Bella Vista",2 BHK,PH Girasol,1808,2,3,225000
Super built-up Area,Sale,"MARBELLA,Bella Vista",4 Bedroom,"Apartamento en Marbella, Ph Alfil",1873,3,3,225000
Built-up Area,Rental,"MARBELLA,Bella Vista",3 BHK,PH LOS DELFINES APT 36,6028,4,4,760000
Plot Area,Sale,"MARBELLA,Bella Vista",2 BHK,Grand Bay 2 recámaras,1044,2,2,225000
Super built-up Area,Sale,"MARBELLA,Bella Vista",4 Bedroom,BAHIA ESMERALDA,5350,4,4,910000
Built-up Area,Sale,"MARBELLA,Bella Vista",3 BHK,Luxury apartment in Yoo Panama,1302,1,1,359000
Plot Area,Sale,Bella Vista,2 BHK,TORRE MARBELLA,2013,3,3,285000
Super built-up Area,Sale,Bella Vista,4 Bedroom,BAHIA ESMERALDA,2637,3,3,418500
Built-up Area,Rental,Bella Vista,3 BHK,BAHIA ESMERALDA,2648,3,3,458000
Plot Area,Sale,Bella Vista,2 BHK,RIO MAR,2314,2,3,260000
Super built-up Area,Sale,Bella Vista,4 Bedroom,COSTA DEL MAR,2594,3,3,350000
Built-up Area,Sale,Bella Vista,3 BHK,MARBELLA 47,2099,3,3,515000
Plot Area,Rental,Bella Vista,2 BHK,MARBELLA TOWER II,2293,3,3,288000
Super built-up Area,Sale,San Francisco,4 Bedroom,MARBELLA TOWER II,2293,4,3,420000
Built-up Area,Sale,San Francisco,3 BHK,PANAMAR,4069,3,3,690000
Plot Area,Sale,San Francisco,2 BHK,ICON TOWER,1722,3,3,315000
Super built-up Area,Rental,San Francisco,4 Bedroom,SOBRE LAS ROCAS,6189,3,3,695000
Built-up Area,Rental,San Francisco,3 BHK,PUNTARENAS,3638,2,3,670000
Plot Area,Sale,San Francisco,2 BHK,Panamar Apt 2 A,4069,3,3,625000
Super built-up Area,Rental,San Francisco,4 Bedroom,SANTORINI,5769,3,3,970000
